operação;Data;hora;Moeda;quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte;Fees
Entrada Fiat;2020-07-08;09:31:33;BRL;;6000,0;Banco;6000,0;0,0
Compra;2020-07-08;09:48:28;Bitcoin;0.05525772;2758,96;BRL;2758,96;0,00027629
Compra;2020-07-08;09:51:01;Bitcoin;0.00120888;60,36;BRL;60,36;3,02e-06
Compra;2020-07-08;10:14:06;Bitcoin;0.00362375;180,68;BRL;180,68;9,06e-06
Compra;2020-07-08;11:08:56;Ethereum;2.01515152;2660,0;BRL;2660,0;0,01007576
Compra;2020-07-08;11:11:01;Bitcoin;0.00673401;340,0;BRL;340,0;3,367e-05
Retirada para carteira externa;2020-07-09;00:53:54;Ethereum;2.0031446;2631,85;Carteira Externa;0,0;0,00193116
Retirada para carteira externa;2020-07-09;00:56:42;Bitcoin;0.06640882;3302,4;Carteira Externa;0,0;9,35e-05
Entrada Fiat;2020-07-09;09:37:50;BRL;;5350,0;Banco;5350,0;0,0
Compra;2020-07-09;09:40:47;Ethereum;0.34075328;451,42;BRL;451,42;0,00170377
Compra;2020-07-09;09:40:47;Ethereum;1.20055595;1590,46;BRL;1590,46;0,00600278
Compra;2020-07-09;09:40:47;Ethereum;0.47031517;623,06;BRL;623,06;0,00235158
Compra;2020-07-09;09:42:31;Bitcoin;0.05318553;2685,05;BRL;2685,05;0,00026593
Retirada para carteira externa;2020-07-09;09:44:49;Bitcoin;0.0528261;2650,67;Carteira Externa;0,0;9,35e-05
Retirada para carteira externa;2020-07-09;09:48:50;Ethereum;1.99887281;2647,24;Carteira Externa;0,0;0,00269346
Entrada Fiat;2020-07-16;16:56:35;BRL;;2000,0;Banco;2000,0;0,0
Compra;2020-07-16;17:06:18;Ethereum;1.57481103;2000,01;BRL;2000,01;0,00393703
Retirada para carteira externa;2020-07-16;17:07:41;Ethereum;1.5688412;2002,41;Carteira Externa;0,0;0,0020328
Entrada Fiat;2020-07-16;18:35:00;BRL;;2000,0;Banco;2000,0;0,0
Compra;2020-07-23;09:30:21;Ethereum;0.14001831;191,12;BRL;191,12;0,00070009
Compra;2020-07-23;09:31:01;Ethereum;0.01943112;26,52;BRL;26,52;4,858e-05
Entrada Fiat;2020-07-23;11:26:31;BRL;;1440,0;Banco;1440,0;0,0
Compra;2020-07-23;12:57:18;Ethereum;2.29676408;3222,36;BRL;3222,36;0,01148382
Entrada Fiat;2020-08-12;10:53:53;BRL;;3000,0;Banco;3000,0;0,0
Compra;2020-08-12;10:59:09;Ethereum;0.21641048;461,93;BRL;461,93;0,00108205
Compra;2020-08-12;10:59:09;Ethereum;0.055202;117,83;BRL;117,83;0,00027601
Compra;2020-08-12;10:59:09;Ethereum;0.05743023;122,59;BRL;122,59;0,00028715
Compra;2020-08-12;10:59:09;Ethereum;0.05691132;121,48;BRL;121,48;0,00028456
Compra;2020-08-12;10:59:09;Ethereum;0.09731708;207,73;BRL;207,73;0,00048659
Compra;2020-08-12;10:59:09;Ethereum;0.08810863;188,07;BRL;188,07;0,00044054
Compra;2020-08-12;11:02:33;Ethereum;0.81704898;1749,95;BRL;1749,95;0,00408524
Compra;2020-08-12;11:02:33;Ethereum;0.01412283;30,25;BRL;30,25;7,061e-05
Retirada para carteira externa;2020-08-12;11:07:10;Ethereum;1.32460731;1827,32;Carteira Externa;0,0;0,01039269
Entrada Fiat;2020-08-17;11:12:26;BRL;;2800,0;Banco;2800,0;0,0
